drug,reaction,a,b,c,d,PRR,ROR,chi2,pvalue
FOLIC ACID,Rheumatoid arthritis,2495,16313,7297,1458245,26.642922206249786,30.564891856503767,46172.98238312775,0.0
SULFASALAZINE,Hypersensitivity,1574,5817,11841,1465118,26.563272909184747,33.48034211307968,34467.39030448398,0.0
INFLIXIMAB,Treatment failure,911,6803,6589,1470047,26.466266854591016,29.876493093681475,19688.664616996117,0.0
INFLIXIMAB,Joint swelling,1318,6396,9540,1467096,26.44605234622013,31.68962598479396,28538.96012012421,0.0
KEYTRUDA,Malignant neoplasm progression,1433,11223,6349,1465345,26.24592699428661,29.469433488344585,28519.77167459306,0.0
ACTEMRA,Contusion,1153,8462,6741,1467994,26.23431199226904,29.67264356011189,24004.427002470864,0.0
HYDROCORTISONE,Hepatic enzyme increased,810,7273,5715,1470552,25.88577173244907,28.657320626067072,17026.061927595078,0.0
ADALIMUMAB,Dry mouth,929,8666,5518,1469237,25.876701499531308,28.54349767920643,19077.313655788254,0.0
HYDROCORTISONE,Infusion related reaction,969,7114,6852,1469415,25.828474465771382,29.21036816233204,20347.24330959361,0.0
CIMZIA,Joint swelling,1778,9392,9080,1464100,25.82548874226511,30.52520328482765,35722.94904304157,0.0
IBRANCE,White blood cell count decreased,1133,6939,8037,1468241,25.7823759056386,29.828842529228247,23779.77460623516,0.0
OXYCODONE,Wheezing,841,7059,6109,1470341,25.728681070261555,28.67482369387538,17630.4579705205,0.0
SIMPONI,Drug intolerance,1167,7531,7697,1467955,25.72254389067323,29.553536948755244,24201.7430953256,0.0
HYDROXYCHLOROQUINE,Treatment failure,937,7259,6563,1469591,25.71383806626423,28.90392847377072,19552.80584912085,0.0
CIMZIA,Maternal exposure during pregnancy,1581,9589,8115,1465065,25.69484409156425,29.76644160003886,31590.21100105229,0.0
NAPROXEN,Swelling,862,6197,7069,1470222,25.519499601513598,28.930151313068333,18175.568554307378,0.0
RITUXIMAB,Hepatic enzyme increased,1934,22202,4591,1455623,25.48592424096171,27.6188752130372,32135.979741736028,0.0
ORENCIA,Musculoskeletal stiffness,1245,10745,6018,1466342,25.40457859116562,28.23228453309221,24282.880530776973,0.0
INFLIXIMAB,Sleep disorder,822,6892,6207,1470429,25.35034591528737,28.2545804397166,17037.064194062266,0.0
SULFASALAZINE,Gastrointestinal disorder,1200,6191,9485,1467474,25.281867338262845,29.988415683589192,25001.026107387053,0.0
NAPROXEN,Musculoskeletal stiffness,782,6277,6481,1470810,25.25152444145745,28.27282316906932,16310.686288535486,0.0
CIMZIA,Discomfort,1043,10127,5472,1467708,25.138586871161788,27.62466824833388,20373.80435665468,0.0
REMICADE,Treatment failure,1010,8132,6490,1468718,25.112428827953007,28.10720909310703,20316.42155761294,0.0
LEFLUNOMIDE,Drug hypersensitivity,1360,5568,11556,1465866,25.097361018180774,30.98321069216171,28378.57836818015,0.0
COSENTYX,Swelling,1557,12756,6374,1463663,25.088468322335213,28.0287117511433,29077.043718872443,0.0
ADALIMUMAB,Sleep disorder,985,8610,6044,1468711,25.048785456935747,27.80001120317056,19627.539419765384,0.0
