drug,reaction,a,n_drug,n_event,b,c,d,PRR,ROR
LEFLUNOMIDE,Abdominal discomfort,1653,6928,14024,5275,12371,1465051,28.4947420193954,37.1106298977007
HYDROXYCHLOROQUINE,Discomfort,887,8196,6515,7309,5628,1470526,28.3856765031428,31.7091263674591
SULFASALAZINE,Alopecia,1617,7391,13013,5774,11396,1465563,28.3545537487156,36.0151553094487
REMICADE,Joint swelling,1622,9142,10858,7520,9236,1465972,28.3386376102036,34.2353490734683
SIMPONI,Wheezing,994,8698,6950,7704,5956,1469696,28.3136750055323,31.8377914327777
INFLIXIMAB,Drug intolerance,1137,7714,8864,6577,7727,1468909,28.1671800650934,32.8637109658097
INFLIXIMAB,Dry mouth,826,7714,6447,6888,5621,1471015,28.1293877541795,31.3827086434003
STELARA,Swelling,1231,9684,7931,8453,6700,1467966,27.9783524447157,31.9071767508135
XELJANZ,Dry mouth,892,8491,6447,7599,5555,1470304,27.9104486870781,31.0693011977866
ADALIMUMAB,Wheezing,1068,9595,6950,8527,5882,1468873,27.9075126790046,31.2776573419783
XELJANZ,Treatment failure,1033,8491,7500,7458,6467,1469392,27.764092824105,31.4711601192647
LEFLUNOMIDE,Gastrointestinal disorder,1229,6928,10685,5699,9456,1467966,27.7166732548563,33.4781737690199
NAPROXEN,Hepatic enzyme increased,763,7059,6525,6296,5762,1471529,27.7124009667316,30.9496249085385
LEFLUNOMIDE,Hypersensitivity,1541,6928,13415,5387,11874,1465548,27.6759334005907,35.3068250601991
LEFLUNOMIDE,Sinusitis,1127,6928,9814,5801,8687,1468735,27.6662805920875,32.846921555246
OXYCODONE,Dry mouth,830,7900,6447,7070,5617,1470833,27.6162891583642,30.7409737413122
LEFLUNOMIDE,Contusion,902,6928,7894,6026,6992,1470430,27.5107101121176,31.4789577923582
REMICADE,Musculoskeletal stiffness,1057,9142,7263,8085,6206,1469002,27.4837037121118,30.9460753662494
SULFASALAZINE,Sinusitis,1186,7391,9814,6205,8628,1468331,27.4688064905211,32.5279530655023
ADALIMUMAB,Musculoskeletal stiffness,1101,9595,7263,8494,6162,1468593,27.4625286620293,30.8926256783814
HYDROXYCHLOROQUINE,Dry mouth,852,8196,6447,7344,5595,1470559,27.4264262826174,30.4922371748819
SYMBICORT,Asthma,1571,7484,12896,5913,11325,1465541,27.3744427965827,34.3817571266066
LEFLUNOMIDE,Hypoaesthesia,1244,6928,10960,5684,9716,1467706,27.3042063185698,33.0611438027888
INFLIXIMAB,Wheezing,867,7714,6950,6847,6083,1470553,27.2831869364296,30.6112902041212
HYDROXYCHLOROQUINE,Drug intolerance,1165,8196,8864,7031,7699,1468455,27.2534397392473,31.6034976678809
SULFASALAZINE,Maternal exposure during pregnancy,1160,7391,9696,6231,8536,1468423,27.1561888448894,32.0255804449651
HUMAN IMMUNOGLOBULIN G,Sinusitis,1045,6514,9814,5469,8769,1469067,27.0361413208174,32.0110485580187
EPINEPHRINE,Sinusitis,1115,7006,9814,5891,8699,1468645,27.0281945447577,31.954597009094
LEFLUNOMIDE,Maternal exposure during pregnancy,1088,6928,9696,5840,8608,1468814,26.9540059410871,31.7892728013444
COSENTYX,Hepatic enzyme increased,1354,14313,6525,12959,5171,1464866,26.8931529060292,29.5985567979007
REMICADE,Drug intolerance,1265,9142,8864,7877,7599,1467609,26.8624810994112,31.0158438759448
RAMIPRIL,Mobility decreased,1010,10164,6477,9154,5467,1468719,26.7953803461893,29.6414950664921
CIMZIA,Musculoskeletal stiffness,1226,11170,7263,9944,6037,1467143,26.7837840923971,29.962677827039
HYDROXYCHLOROQUINE,Wheezing,898,8196,6950,7298,6052,1470102,26.7243490368329,29.8896635661664
FOLIC ACID,Rheumatoid arthritis,2495,18808,9792,16313,7297,1458245,26.6429222062498,30.5648918565038
SULFASALAZINE,Hypersensitivity,1574,7391,13415,5817,11841,1465118,26.5632729091848,33.4803421130797
INFLIXIMAB,Treatment failure,911,7714,7500,6803,6589,1470047,26.466266854591,29.8764930936815
INFLIXIMAB,Joint swelling,1318,7714,10858,6396,9540,1467096,26.4460523462201,31.689625984794
KEYTRUDA,Malignant neoplasm progression,1433,12656,7782,11223,6349,1465345,26.2459269942866,29.4694334883446
ACTEMRA,Contusion,1153,9615,7894,8462,6741,1467994,26.234311992269,29.6726435601119
HYDROCORTISONE,Hepatic enzyme increased,810,8083,6525,7273,5715,1470552,25.8857717324491,28.6573206260671
ADALIMUMAB,Dry mouth,929,9595,6447,8666,5518,1469237,25.8767014995313,28.5434976792064
HYDROCORTISONE,Infusion related reaction,969,8083,7821,7114,6852,1469415,25.8284744657714,29.210368162332
CIMZIA,Joint swelling,1778,11170,10858,9392,9080,1464100,25.8254887422651,30.5252032848277
IBRANCE,White blood cell count decreased,1133,8072,9170,6939,8037,1468241,25.7823759056386,29.8288425292282
OXYCODONE,Wheezing,841,7900,6950,7059,6109,1470341,25.7286810702616,28.6748236938754
SIMPONI,Drug intolerance,1167,8698,8864,7531,7697,1467955,25.7225438906732,29.5535369487552
HYDROXYCHLOROQUINE,Treatment failure,937,8196,7500,7259,6563,1469591,25.7138380662642,28.9039284737707
CIMZIA,Maternal exposure during pregnancy,1581,11170,9696,9589,8115,1465065,25.6948440915642,29.7664416000389
NAPROXEN,Swelling,862,7059,7931,6197,7069,1470222,25.5194996015136,28.9301513130683
RITUXIMAB,Hepatic enzyme increased,1934,24136,6525,22202,4591,1455623,25.4859242409617,27.6188752130372
ORENCIA,Musculoskeletal stiffness,1245,11990,7263,10745,6018,1466342,25.4045785911656,28.2322845330922
INFLIXIMAB,Sleep disorder,822,7714,7029,6892,6207,1470429,25.3503459152874,28.2545804397166
SULFASALAZINE,Gastrointestinal disorder,1200,7391,10685,6191,9485,1467474,25.2818673382628,29.9884156835892
NAPROXEN,Musculoskeletal stiffness,782,7059,7263,6277,6481,1470810,25.2515244414574,28.2728231690693
CIMZIA,Discomfort,1043,11170,6515,10127,5472,1467708,25.1385868711618,27.6246682483339
REMICADE,Treatment failure,1010,9142,7500,8132,6490,1468718,25.112428827953,28.107209093107
LEFLUNOMIDE,Drug hypersensitivity,1360,6928,12916,5568,11556,1465866,25.0973610181808,30.9832106921617
COSENTYX,Swelling,1557,14313,7931,12756,6374,1463663,25.0884683223352,28.0287117511433
ADALIMUMAB,Sleep disorder,985,9595,7029,8610,6044,1468711,25.0487854569357,27.8000112031706
